Name,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,GP,NETRTG,TS%,W,L,MPG,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
Aaron Holiday,ATL,26,72,185,UCLA,USA,63,0.9,52.8,32,31,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,0.4,0.8,1.2,1.4,0.6,0.6,0.2,1.3,9.2,0,0,0.3,845,12.9,12.2,13.6,19.4,16.1,8.3,8,12.3,9,9.9,21.5,16.4,25.7,14.3,15.2,24.2,14.1,12.3
AJ Griffin,ATL,19,78,220,Duke,USA,72,1.5,57.7,34,38,19.5,8.9,3.4,7.4,46.5,1.4,3.6,39,0.6,0.7,89.4,0.5,1.6,2.1,1,0.6,0.6,0.2,1.2,14.6,0,0,0.9,1401,17.4,19.3,20,29.4,27.8,8.5,7.6,11.6,11.9,11.9,9.8,11,21.1,8.2,15.3,15.3,7.7,18.7
Bogdan Bogdanovic,ATL,30,77,225,None,Serbia,54,1.2,58.6,27,27,27.9,14,5.1,11.3,44.7,2.7,6.7,40.6,1.2,1.4,83.1,0.4,2.6,3.1,2.8,1.2,0.8,0.3,1.6,24,0,0,1.2,1509,19.6,19.6,21.7,40.7,36.8,10.7,10.4,7,13.7,12.1,19.1,16.6,21,10.7,8.8,14.4,10.4,20.2
Bruno Fernando,ATL,24,82,240,Maryland,Angola,39,-8.9,57.1,13,26,10.4,3.9,1.5,2.9,52.7,0,0.1,0,0.9,1.3,70,1.4,2.1,3.5,0.8,0.6,0.2,0.9,1.9,11.8,1,0,-1.9,405,15.9,18.2,15.2,0,1.4,23.2,25.6,42.2,28.1,32.4,17.8,16.4,12.8,59.6,23.3,38.5,27.3,17.2
Clint Capela,ATL,29,82,256,None,Switzerland,65,-1.1,65.6,35,30,26.6,12,5.4,8.2,65.3,0,0,0,1.2,2,60.3,4,7.1,11,0.9,0.8,0.7,1.2,2.1,31.5,35,0,-0.5,1730,15.1,21.2,15.8,0,0.1,12.6,16.6,56.7,38.6,43.6,6.3,11.9,18.8,48.5,15.6,22.6,18,18.2
De'Andre Hunter,ATL,25,80,221,Virginia,USA,67,-0.6,56.3,35,32,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5,0.3,3,23.7,1,0,-0.3,2126,19.3,19.3,20.2,21.6,22.1,20.3,20.7,9.5,16.2,14.6,8.5,14.6,11.9,8.1,20.7,24.7,23.9,19.6
Dejounte Murray,ATL,26,77,180,Washington,USA,74,-1.1,54,38,36,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,2.2,1.5,0.3,1.4,39,8,1,-0.8,2693,23.9,24.6,25.5,22.9,23.6,16.4,16,8.3,18,15.6,33,22.3,27.8,7.1,19.7,10.3,14.5,23.2
Donovan Williams,ATL,21,78,190,UNLV,USA,2,60,40,1,1,2.1,2,1,2.5,40,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,0,3,4,38.5,33.3,50,0,66.7,0,0,0,40,25,0,0,0,0,0,0,0,33.3
Garrison Mathews,ATL,26,78,215,Lipscomb,USA,54,-6.4,57.3,16,38,12.7,4.8,1.4,3.7,36.3,1.2,3.3,35,0.9,1,90.6,0.2,1.1,1.4,0.5,0.4,0.4,0.1,1.1,8.4,0,0,-1.6,686,13.9,13.7,16,37.7,33.9,17.6,14.7,5.6,12.5,10.6,8.2,7.6,20.9,5.8,2.3,20.2,16,17.1
Jalen Johnson,ATL,21,80,219,Duke,USA,70,0.3,55.4,35,35,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4,1.2,0.6,0.5,0.5,1.6,14.8,1,0,-0.1,1042,15.6,16.8,16.3,13.2,15.6,13.2,16.7,21.3,32.7,29.8,15.5,14.1,22.6,29.1,20.2,25.5,14.2,15.9
Jarrett Culver,ATL,24,78,195,Texas Tech,USA,10,-5.7,45.2,5,5,13.7,4.4,1.7,4.3,39.5,0.1,1.2,8.3,0.9,1.3,69.2,1,2.8,3.8,0.6,0.7,0.6,0.2,1.4,11.6,0,0,-1.9,137,16.4,13.4,15.6,3.7,12.5,23.1,25.5,24.4,31.8,29.5,11.1,18.9,30,18.2,30.8,25.9,27.8,13.8
John Collins,ATL,25,81,226,Wake Forest,USA,71,-0.2,59.3,37,34,30,13.1,5.1,10,50.8,1,3.4,29.2,2,2.5,80.3,1.1,5.4,6.5,1.2,1.1,0.6,1,3.1,26.5,11,0,-0.3,2130,16.8,18.1,17.4,15.8,18.7,17.7,18,16.2,26,23.6,7.6,14.1,13.8,35.3,21.8,28.2,21.3,17.8
Onyeka Okongwu,ATL,22,81,240,Southern California,USA,80,1.8,67.8,41,39,23.1,9.9,4,6.2,63.8,0.1,0.2,30.8,1.9,2.5,78.1,2.7,4.5,7.2,1,1,0.7,1.3,3.1,25.1,12,0,0.8,1849,15,19,14.4,0.9,1.1,21.9,23.5,53.2,28.1,34.2,8.8,15.9,19.4,52.2,21.3,32.5,22.3,17.7
Saddiq Bey,ATL,24,79,215,Villanova,USA,77,-3.1,56.4,24,53,27.6,13.8,4.6,10.9,42.2,2,5.4,36.1,2.7,3.1,86.1,1.3,3.4,4.7,1.5,0.9,0.9,0.2,1.6,24,4,0,-1.9,2129,19.4,19.2,21.2,28.8,28.6,21.1,19.6,19.6,19,19.2,11.5,11.5,20.8,8,21.8,13,16.3,20.5
Trae Young,ATL,24,73,164,Oklahoma,USA,73,1.3,57.3,38,35,34.8,26.2,8.2,19,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3,10.2,4.1,1.1,0.1,1.4,44.6,40,0,1.4,2541,31.3,25,28.5,27.6,28.2,52.2,49,9.7,9.3,9.4,55,43.8,22,3.4,34.4,10.6,41.6,29.8
